"Date","INDIACEM.NS.Open","INDIACEM.NS.High","INDIACEM.NS.Low","INDIACEM.NS.Close","INDIACEM.NS.Volume","INDIACEM.NS.Adjusted"
2016-06-10,96.3,97.4,94.6,95.9,2771800,95.14
2016-06-13,94.8,101.1,94.1,99.65,5574400,98.86
2016-06-14,102,102,97.6,98.75,6517000,97.96
2016-06-15,98.7,105.65,98.2,103.2,14121600,102.38
2016-06-16,103.35,106.7,100.45,104.1,10270400,103.27
2016-06-17,105,106.45,103.6,104.4,3867400,103.57
2016-06-20,103.45,105.25,103,104.9,3710300,104.07
2016-06-21,105.45,105.9,103.3,103.7,2646600,102.88
2016-06-22,103.3,104.35,101.75,102.25,1796400,101.44
2016-06-23,102.25,103.15,100.8,102.3,3102300,101.49
2016-06-24,98.45,101.4,92.5,100.15,8985300,99.35
2016-06-27,101.5,103.3,100.35,102.65,5647000,101.83
2016-06-28,101.9,105.7,101.9,103.65,7278300,102.83
2016-06-29,104.25,112.4,104.2,111.25,15071600,110.36
2016-06-30,112.6,114.3,111.4,113.05,9898400,112.15
2016-07-01,113.5,114.6,111.8,112.8,2966800,111.9
2016-07-04,112.9,114.4,111.85,113.1,2764800,112.2
2016-07-05,113.1,117.4,112.6,115.35,5914600,114.43
2016-07-06,115.35,115.35,115.35,115.35,0,114.43
2016-07-07,115.4,117.75,114.5,116.7,4981600,115.77
2016-07-08,117.25,119.25,116.05,117.35,4707200,116.42
2016-07-11,118.15,120.25,116.9,118.4,3681300,117.46
2016-07-12,118.4,119.45,116,117.65,2963300,116.71
2016-07-13,117.6,118.1,112.35,113.5,3039800,112.6
2016-07-14,113.5,115.5,113.25,114.7,3093600,113.79
2016-07-15,114,117.15,113.65,114.85,3689600,113.94
2016-07-18,115.5,116.1,111.25,111.7,2713700,110.81
2016-07-19,111.75,113.55,110.8,112.05,2870000,111.16
2016-07-20,112.6,116.95,111.7,115.65,4543900,114.73
2016-07-21,116.35,117.85,114.25,114.8,4294900,113.89
2016-07-22,114.8,115.95,112.55,114.5,3195100,113.59
2016-07-25,115,118.1,114.3,117.05,3658500,116.12
2016-07-26,116.9,118.2,107.5,115.2,3904600,114.28
2016-07-27,115.8,117.7,113.5,115.95,3063200,115.03
2016-07-28,116.55,123.75,116.55,123.25,11944800,122.27
2016-07-29,123.8,126.1,123.2,124.35,5857400,123.36
2016-08-01,124.3,125.4,120.05,121.35,4457000,120.38
2016-08-02,121.1,122,116.75,117.7,3149000,116.76
2016-08-03,118.4,118.9,115.45,116.2,3416900,115.28
2016-08-04,117.3,118.15,115.55,116.55,3018000,115.62
2016-08-05,117.4,124.35,117.35,123.15,6070000,122.17
2016-08-08,124.1,126.6,122.6,125.05,3760500,124.06
2016-08-09,125.95,128.4,124.5,125.3,5602600,124.3
2016-08-10,124.6,125.55,117.2,119.55,4828900,118.6
2016-08-11,119.55,123,117.55,122.35,3983800,121.38
2016-08-12,122.2,122.7,119.95,121.55,2134900,120.58
2016-08-15,121.55,121.55,121.55,121.55,0,120.58
2016-08-16,121,122.2,118.1,120.9,2145000,119.94
2016-08-17,121.3,125,119.1,123.8,2791500,122.82
2016-08-18,124.95,130.85,123.8,125.7,22373400,124.7
2016-08-19,126.5,132.75,126.3,132.05,11918000,132.05
2016-08-22,132.7,133.7,129,129.5,5032600,129.5
2016-08-23,129.3,142.75,128.4,140.1,28256100,140.1
2016-08-24,140.6,147.45,139.75,144.75,17261300,144.75
2016-08-25,146.1,149,142.55,143.75,11634300,143.75
2016-08-26,145.3,147.35,143.25,144.7,5851200,144.7
2016-08-29,144.95,144.95,140.3,143.25,3717100,143.25
2016-08-30,143.9,152,143.9,151.4,11905100,151.4
2016-08-31,152,153.95,149.05,149.8,6219400,149.8
2016-09-01,145.75,152.7,145.55,151.15,8778900,151.15
2016-09-02,152.45,154.6,150.85,152.35,4695500,152.35
2016-09-05,152.35,152.35,152.35,152.35,0,152.35
2016-09-06,153.75,156.25,153.55,155.7,4030200,155.7
2016-09-07,156.2,156.4,152.45,153.75,3193600,153.75
2016-09-08,153.75,155.6,152.2,154.1,2675100,154.1
2016-09-09,154,154.45,148.55,149.4,4102500,149.4
2016-09-12,144.5,145.45,140.2,142.25,5059400,142.25
2016-09-13,142.25,142.25,142.25,142.25,0,142.25
2016-09-14,142.1,150.65,142.1,150.2,4268500,150.2
2016-09-15,150.85,151,146,147.85,2909900,147.85
2016-09-16,148.85,153.1,146.55,149.55,4560500,149.55
2016-09-19,148.6,152.55,147.85,152,3008900,152
2016-09-20,152.4,152.8,149,150,1989100,150
2016-09-21,150.8,151.95,148.35,149.3,1899300,149.3
2016-09-22,151,152.35,148.4,151.25,2331700,151.25
2016-09-23,152,152.75,149.25,150.1,2015000,150.1
2016-09-26,149,149.75,147.15,148.45,1679600,148.45
2016-09-27,148.45,149.3,146.5,147.05,1779500,147.05
